Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
E-APR: Mapping the effectiveness of automated program repair techniques;software quality;defects;detection;software quality;defects;fixes;;;
Self-admitted technical debt practices: a comparison between industry and open-source;no MSR study;;;;;;;;
On the Removal of Feature Toggles: A Study of Python Projects and Practitioners Motivations;software architecture and design;features and variants;;;;;;;
Development of recommendation systems for software engineering: the CROSSMINER experience;development support and automation;recommendations;;development support and automation;information retrieval;;MSR techniques;tool development;
ID-correspondence: a measure for detecting evolutionary coupling;software maintenance;change patterns and evolution;;;;;;;
An exploratory study on confusion in code reviews;no MSR study;;;;;;;;
On using Stack Overflow comment-edit pairs to recommend code maintenance changes;development support and automation;recommendations;;software maintenance;change patterns and evolution;;;;
Understanding and improving the quality and reproducibility of Jupyter notebooks;software architecture and design;documentation;;;;;;;
variED: an editor for collaborative, real-time feature modeling;software architecture and design;features and variants;;collaboration and coordination;;;MSR techniques;tool development;
Learning to recognize actionable static code warnings (is intrinsically easy);software maintenance;debugging and logging;;software quality;defects;localisation;;;
Extracting enhanced artificial intelligence model metadata from software repositories;software maintenance;reuse and clones;;MSR techniques;tool development;;;;
Quick remedy commits and their impact on mining software repositories;software maintenance;change patterns and evolution;;;;;;;
Ethics in the mining of software repositories;no MSR study;;;;;;;;
Predicting the objective and priority of issue reports in software repositories;development support and automation;ticket and task resolution;;;;;;;
An empirical study of issue-link algorithms: which issue-link algorithms should we use?;software quality;defects;prediction;;;;;;
An empirical study of developers’ discussions about security challenges of different programming languages;software quality;vulnerabilities and security;;collaboration and coordination;communication;topic modeling;development support and automation;topic and knowledge modeling;
On the evolution and impact of architectural smells—an industrial case study;software architecture and design;patterns and anti-patterns;;MSR techniques;tool development;;;;
Problems with SZZ and features: An empirical study of the state of practice of defect prediction data collection;software quality;defects;prediction;MSR techniques;dataset and benchmark creation;;;;
Generation of refactoring algorithms by grammatical evolution;software maintenance;refactoring;;development support and automation;recommendations;;MSR techniques;tool development;
Defect prediction using deep learning with Network Portrait Divergence for software evolution;software quality;defects;prediction;MSR techniques;tool development;;;;
Newcomer OSS-Candidates: Characterizing Contributions of Novice Developers to GitHub;collaboration and coordination;onboarding;;;;;;;
Reflections on the Empirical Software Engineering journal;no MSR study;;;;;;;;
Gamification in software engineering: the mediating role of developer engagement and job satisfaction;no MSR study;;;;;;;;
Why secret detection tools are not enough: It’s not just about false positives - An industrial case study;software quality;vulnerabilities and security;patterns;;;;;;
Sampling in software engineering research: a critical review and guidelines;no MSR study;;;;;;;;
Development effort estimation in free/open source software from activity in version control systems;software maintenance;effort estimation;;;;;;;
Open-source software product line extraction processes: the ArgoUML-SPL and Phaser cases;software architecture and design;re-design and re-engineering;;;;;;;
Clones in deep learning code: what, where, and why?;software maintenance;reuse and clones;;software quality;defects;detection;;;
Visualizing the customization endeavor in product-based-evolving software product lines: a case of action design research;software architecture and design;features and variants;;;;;;;
Will you come back to contribute? Investigating the inactivity of OSS core developers in GitHub;software maintenance;activity and productivity;patterns;;;;;;
Reuse and maintenance practices among divergent forks in three software ecosystems;software maintenance;reuse and clones;;software architecture and design;features and variants;;;;
A fine-grained data set and analysis of tangling in bug fixing commits;software quality;defects;prediction;software quality;defects;fixes;MSR techniques;threats;
The effects of continuous integration on software development: a systematic literature review;no MSR study;;;;;;;;
Upstream bug management in Linux distributions: An empirical study of Debian and Fedora practices;software quality;defects;fixes;;;;;;
Evolving software system families in space and time with feature revisions;software maintenance;reuse and clones;;software architecture and design;features and variants;;;;
Testing research software: a survey;no MSR study;;;;;;;;
A comparative study and analysis of developer communications on Slack and Gitter;collaboration and coordination;communication;topic modeling;;;;;;
Multi-language design smells: a backstage perspective;software architecture and design;patterns and anti-patterns;;;;;;;
A qualitative study of developers’ discussions of their problems and joys during the early COVID-19 months;collaboration and coordination;communication;sentiment analysis;;;;;;
A mixed-methods analysis of micro-collaborative coding practices in OpenStack;collaboration and coordination;mechanisms;;software maintenance;code reviews;;;;
Conclusion stability for natural language based mining of design discussions;software architecture and design;documentation;;MSR techniques;threats;;;;
TCTracer: Establishing test-to-code traceability links using dynamic and static techniques;software quality;tests;;MSR techniques;tool development;;;;
SSPCatcher: Learning to catch security patches;software quality;vulnerabilities and security;fixes;MSR techniques;tool development;;;;
Mining and relating design contexts and design patterns from Stack Overflow;software architecture and design;patterns and anti-patterns;;collaboration and coordination;communication;;;;
Performance evolution of configurable software systems: an empirical study;software maintenance;change patterns and evolution;;software quality;performance;;;;
An empirical study on API usages from code search engine and local library;software usage;popularity;;MSR techniques;tool development;;;;
Come for syntax, stay for speed, understand defects: an empirical study of defects in Julia programs;software quality;defects;detection;software quality;defects;patterns;;;
On the spread and evolution of dead methods in Java desktop applications: an exploratory study;software quality;defects;detection;;;;;;
Registered reports in software engineering;no MSR study;;;;;;;;
Introduction to the special issue on program comprehension;no MSR study;;;;;;;;
Technical leverage analysis in the Python ecosystem;software maintenance;reuse and clones;;software maintenance;dependency management;;;;
Understanding code smells in Elixir functional language;software maintenance;technical debt;code smells;;;;;;
On the assignment of commits to releases;software governance;release management;;software maintenance;change patterns and evolution;;;;
Operationalizing validity of empirical software engineering studies;no MSR study;;;;;;;;
An interview study about the use of logs in embedded software engineering;no MSR study;;;;;;;;
BTLink : automatic link recovery between issues and commits based on pre-trained BERT model;MSR techniques;tool development;;;;;;;
Integrating human values in software development using a human values dashboard;collaboration and coordination;human factors and values;;MSR techniques;tool development;;;;
Semantically-enhanced topic recommendation systems for software projects;development support and automation;topic and knowledge modeling;;development support and automation;recommendations;;;;
Studying the characteristics of AIOps projects on GitHub;software maintenance;development operations;MLOps;software maintenance;technical debt;code smells;software usage;popularity;
Rubbing salt in the wound? A large-scale investigation into the effects of refactoring on security;software quality;vulnerabilities and security;bad practices;software maintenance;refactoring;;software maintenance;technical debt;
GitHub Actions: The Impact on the Pull Request Process;software maintenance;development operations;;software maintenance;activity and productivity;;;;
JEMMA: An extensible Java dataset for ML4Code applications;MSR techniques;dataset and benchmark creation;;;;;;;
Empirical analysis of security vulnerabilities in Python packages;software quality;vulnerabilities and security;detection;software maintenance;dependency management;;;;
Bugs in machine learning-based systems: a faultload benchmark;software quality;defects;detection;software quality;defects;patterns;MSR techniques;dataset and benchmark creation;
Refactoring practices in the context of data-intensive systems;software maintenance;refactoring;;;;;;;
Automated NFR testing in continuous integration environments: a multi-case study of Nordic companies;software maintenance;development operations;CI/CD;software quality;tests;;;;
Are automated static analysis tools worth it? An investigation into relative warning density and external software quality on the example of Apache open source projects;software quality;defects;detection;MSR techniques;threats;;;;
Using the uniqueness of global identifiers to determine the provenance of Python software source code;software maintenance;dependency management;;;;;;;
Towards a change taxonomy for machine learning pipelines: Empirical study of ML pipelines and forks related to academic publications;software maintenance;change patterns and evolution;;software maintenance;dependency management;;;;
Using the uniqueness of global identifiers to determine the provenance of Python software source code;software maintenance;dependency management;;;;;;;
Tag that issue: applying API-domain labels in issue tracking systems;development support and automation;ticket and task resolution;;collaboration and coordination;onboarding;;;;
The software heritage license dataset (2022 edition);MSR techniques;dataset and benchmark creation;;software governance;licensing;;;;
Automated detection, categorisation and developers’ experience with the violations of honesty in mobile apps;collaboration and coordination;communication;;software usage;end-user reviews;;;;
Selecting third-party libraries: the data scientist’s perspective;no MSR study;;;;;;;;
On the validity of retrospective predictive performance evaluation procedures in just-in-time software defect prediction;software quality;defects;prediction;MSR techniques;threats;;;;
Improving hardware/software interface management in systems of systems through documentation as code;no MSR study;;;;;;;;
The impact of a continuous integration service on the delivery time of merged pull requests;software maintenance;development operations;CI/CD;;;;;;
Empirically evaluating flaky test detection techniques combining test case rerunning and machine learning models;software quality;tests;;software maintenance;development operations;CI/CD;MSR techniques;tool development;
On the usage, co-usage and migration of CI/CD tools: A qualitative analysis;no MSR study;;;;;;;;
An empirical study of token-based micro commits;software maintenance;change patterns and evolution;;software quality;code reviews;;;;
Machine learning experiment management tools: a mixed-methods empirical study;no MSR study;;;;;;;;
Fixing Dockerfile smells: an empirical study;software maintenance;technical debt;code smells;;;;;;
A large-scale empirical study on mobile performance: energy, run-time and memory;software quality;performance;;software quality;energy efficiency;;;;
An empirical study on cross-component dependent changes: A case study on the components of OpenStack;software maintenance;change patterns and evolution;;software maintenance;dependency management;;software architecture and design;conformance and evolution;
A fly in the ointment: an empirical study on the characteristics of Ethereum smart contract code weaknesses;software quality;defects;patterns;software quality;vulnerabilities and security;classification;;;
Mining architectural information: A systematic mapping study;no MSR study;;;;;;;;
Adopting automated bug assignment in practice — a longitudinal case study at Ericsson;development support and automation;ticket and task resolution;;MSR techniques;tool development;;;;
Investigating user feedback from a crowd in requirements management in software ecosystems;no MSR study;;;;;;;;
Predicting merge conflicts considering social and technical assets;software maintenance;code merge;;;;;;;
Detecting outdated code element references in software repository documentation;software maintenance;dependency management;;software maintenance;updates and upgrades;;;;
Insights into software development approaches: mining Q &A repositories;collaboration and coordination;communication;topic modeling;;;;;;
On the adoption and effects of source code reuse on defect proneness and maintenance effort;software maintenance;reuse and clones;;software maintenance;effort estimation;;software quality;defects;
Language usage analysis for EMF metamodels on GitHub;software usage;improvements;;;;;;;
How do annotations affect Java code readability?;no MSR study;;;;;;;;
