project_name,primary_language,window_starts,window_ends,Events,NLOC,LevD,Tokens,CycC,Functions,Commits,HalEff,TS,N,E,Diam,Dens,ClustC,InD,EigG,FModR
getsentry__sentry__2020-06-13_15-35-39,Python,1335841699.0,1361243299.0,1101.4736842105262,674.7105263157895,46418.18421052631,6341.8421052631575,93.84210526315789,44.13157894736842,30.0,23186625.25475215,38,50,618.0,3.0,0.02897959183673469,0.22486868686868686,1.42,0.07199891901312949,0.4086548150079419
getsentry__sentry__2020-06-13_15-35-39,Python,1361243299.0,1386644899.0,909.4324324324324,559.4864864864865,33900.35135135135,4721.648648648648,65.94594594594595,25.81081081081081,22.72972972972973,42013937.95881804,37,59,789.0,4.0,0.021332554061952076,0.11872076079453944,1.2372881355932204,0.024531861501637997,0.30566857203918185
getsentry__sentry__2020-06-13_15-35-39,Python,1386644899.0,1412046499.0,2147.125,1258.5,72417.5,10219.375,149.4375,67.75,54.4375,113094939.66351825,16,36,2124.0,4.0,0.04206349206349207,0.22415321304210195,1.4722222222222223,0.02274840350188434,0.42681019074629567
getsentry__sentry__2020-06-13_15-35-39,Python,1412046499.0,1437448099.0,2551.3793103448274,1666.9310344827586,108923.75862068965,15165.51724137931,173.58620689655172,74.20689655172414,68.93103448275862,34912989.4447613,29,50,1493.0,3.0,0.022448979591836737,0.08004878048780487,1.1,0.004133315060524612,0.3816570708679587
getsentry__sentry__2020-06-13_15-35-39,Python,1437448099.0,1462849699.0,2376.2,1401.6666666666667,82637.2,10033.666666666666,182.53333333333333,71.33333333333333,83.6,7289577.196444442,30,62,5171.0,4.0,0.029613960867265997,0.2823649933080499,1.8064516129032258,0.21132693710487993,0.34229586391962336
getsentry__sentry__2020-06-13_15-35-39,Python,1462849699.0,1488251299.0,1994.2121212121212,1118.6666666666667,60706.27272727273,6966.060606060606,162.84848484848484,60.45454545454545,49.303030303030305,7386691.384888151,33,55,6065.0,4.0,0.04276094276094276,0.3326164796711781,2.309090909090909,0.29038266090539644,0.3089486560106245
getsentry__sentry__2020-06-13_15-35-39,Python,1488251299.0,1513652899.0,1538.3953488372092,914.8139534883721,48548.604651162794,5449.069767441861,122.34883720930233,48.604651162790695,26.11627906976744,6064713.177279422,43,58,6819.0,5.0,0.06140350877192982,0.3916759611336317,3.5,0.29311893092641605,0.19587889445919157
getsentry__sentry__2020-06-13_15-35-39,Python,1513652899.0,1539054499.0,1840.8163265306123,1155.6326530612246,59826.32653061225,7259.959183673469,145.9591836734694,66.42857142857143,32.06122448979592,7418863.5962603185,49,66,10264.0,4.0,0.0773892773892774,0.41715899718279936,5.03030303030303,0.30700239077941316,0.2827572900677052
getsentry__sentry__2020-06-13_15-35-39,Python,1539054499.0,1564456099.0,2236.2166666666667,1360.2,73304.71666666666,8288.2,182.03333333333333,79.6,29.65,11192807.732614756,60,84,22973.0,5.0,0.08046471600688468,0.5258414694059989,6.678571428571429,0.28699371264055173,0.31197348915193296
getsentry__sentry__2020-06-13_15-35-39,Python,1564456099.0,1589857699.0,3118.945205479452,1804.876712328767,97429.5890410959,11428.342465753425,196.26027397260273,82.54794520547945,40.821917808219176,18239446.730445992,73,102,33806.0,4.0,0.08008153756552125,0.5286825830939011,8.088235294117647,0.2531835452102691,0.26496935800192395
